snp_ID	snp_name	dbSNP_ID	chromosome	gbrowse_L_flank_start_bp	gbrowse_R_flank_end_bp	snp_start_bp	snp_end_bp	coordinate_system	experiment_ID	comments	entered_by
5207	BARC-060657-16785	ss107928054	Gm06	19986217	19986586	19986362	19986363	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5208	BARC-058827-15453	ss107926717	Gm06	28790475	28790889	28790659	28790660	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5209	BARC-057907-14996	ss107926194	Gm06	27768413	27768718	27768629	27768630	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5210	BARC-065191-19210	ss107930301	Gm06	35655052	35655413	35655313	35655314	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5211	BARC-041589-08047	ss107919996	Gm06	38677310	38677478	38677332	38677333	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5212	BARC-060997-16997	ss107928291	Gm06	25061760	25062069	25061883	25061884	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5213	BARC-057187-14617	ss107925814	Gm06	25118128	25118575	25118472	25118473	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5214	BARC-060459-16680	ss107927949	Gm06	24644362	24644742	24644700	24644701	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5215	BARC-062541-17905	ss107929079	Gm06	26513141	26513505	26513434	26513435	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5216	BARC-057377-14730	ss107925927	Gm06	35090713	35091124	35090975	35090976	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5217	BARC-059667-15983	ss107927246	Gm06	33577243	33577654	33577382	33577383	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5218	BARC-061503-17241	ss107928544	Gm06	38221733	38222123	38221755	38221756	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5219	BARC-060249-16499	ss107927768	Gm06	46432872	46433207	46432918	46432919	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5220	BARC-060367-16631	ss107927900	Gm01	28628055	28628466	28628358	28628359	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5221	BARC-064509-18705	ss107929900	Gm01	30986855	30987231	30987115	30987116	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5222	BARC-063303-18321	ss107929493	Gm01	39728299	39728617	39728424	39728425	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5223	BARC-065667-19631	ss107930721	Gm01	43289166	43289559	43289398	43289399	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5224	BARC-059085-15602	ss107926866	Gm01	47076366	47076683	47076461	47076462	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5225	BARC-025745-05032	ss107917875	Gm01	49209785	49210858	49210096	49210097	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5226	BARC-060173-16441	ss107927709	Gm01	55143176	55143531	55143322	55143323	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5227	BARC-019149-03315	ss107916198	Gm02	7472231	7473425	7472789	7472790	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5228	BARC-061653-17307	ss107928613	Gm02	30848830	30849117	30849092	30849093	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5229	BARC-057321-14693	ss107925890	Gm02	34598232	34598490	34598449	34598450	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5230	BARC-061551-17265	ss107928572	Gm02	37703013	37703417	37703075	37703076	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5231	BARC-060077-16349	ss107927618	Gm02	36712247	36712516	36712322	36712323	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5232	BARC-061209-17137	ss107928437	Gm02	39305456	39305784	39305691	39305692	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5233	BARC-057975-15034	ss107926232	Gm02	36745778	36746073	36745823	36745824	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5234	BARC-031263-07027	ss107918887	Gm02	44749702	44750985	44750621	44750622	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5235	BARC-063683-18433	ss107929620	Gm02	44951263	44951710	44951462	44951463	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5236	BARC-015053-02545	ss107915051	Gm02	45260845	45261227	45261147	45261148	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5237	BARC-022037-04267	ss107916999	Gm17	7416485	7417706	7416669	7416670	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5238	BARC-021191-03999	ss107916790	Gm17	7387106	7387524	7387476	7387477	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5239	BARC-061179-17101	ss107928396	Gm17	16038224	16038569	16038466	16038467	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5240	BARC-064515-18710	ss107929905	Gm17	19237160	19237662	19237227	19237228	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5241	BARC-058573-15320	ss107926508	Gm17	32741084	32741503	32741236	32741237	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5242	BARC-059555-15910	ss107927179	Gm17	33612291	33612653	33612476	33612477	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5243	BARC-064095-18554	ss107929745	Gm17	37768871	37769170	37769057	37769058	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5244	BARC-029645-06277	ss107918528	Gm17	40841942	40842493	40842011	40842012	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5245	BARC-017755-03124	ss107915739	Gm15	11798640	11799217	11798762	11798763	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5246	BARC-058111-15096	ss107926294	Gm15	13649858	13650114	13649941	13649942	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5247	BARC-062799-18070	ss107929243	Gm15	13676783	13677133	13677063	13677064	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5248	BARC-061007-17001	ss107928295	Gm15	22274376	22274923	22274625	22274626	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5249	BARC-057349-14704	ss107925901	Gm15	20181971	20182395	20182011	20182012	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5250	BARC-059689-16003	ss107927266	Gm15	21179051	21179378	21179154	21179155	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5251	BARC-064319-18620	ss107929813		21179051	21179378	21179154	21179155	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5252	BARC-060081-16350	ss107927619	Gm15	50356850	50357184	50357103	50357104	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5253	BARC-057223-14632	ss107925829	Gm13	13431832	13432226	13431888	13431889	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5254	BARC-018487-03200	ss107916002	Gm13	11688809	11689316	11689272	11689273	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5255	BARC-023255-03843	ss107917127		11688809	11689316	11689272	11689273	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5256	BARC-023161-03793	ss107917081	Gm13	8589542	8589939	8589778	8589779	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5257	BARC-024259-04819	ss107917420	Gm13	20484707	20485073	20484995	20484996	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5258	BARC-063121-18247	ss107929418	Gm13	35533608	35533966	35533907	35533908	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5259	BARC-014363-01336	ss107914881	Gm13	42333951	42334362	42334078	42334079	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5260	BARC-064221-18586	ss107929776	Gm13	42797656	42798131	42798018	42798019	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5261	BARC-056099-14080	ss107925283	Gm13	44204109	44204658	44204536	44204537	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5262	BARC-016509-02080	ss107915398	Gm18	9979304	9979635	9979587	9979588	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5263	BARC-065163-19199	ss107930290	Gm18	12649868	12650225	12649941	12649942	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5264	BARC-059783-16090	ss107927359	Gm18	14285209	14285620	14285347	14285348	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5265	BARC-046920-12786	ss107921054	Gm18	17602870	17603193	17603123	17603124	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5266	BARC-046872-12776	ss107921044	Gm18	17600469	17600986	17600569	17600570	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5267	BARC-046922-12787	ss107921055	Gm18	17630260	17630603	17630305	17630306	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5268	BARC-057295-14678	ss107925875	Gm18	17781098	17781468	17781284	17781285	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5269	BARC-057533-14803	ss107926000	Gm18	47830084	47830658	47830526	47830527	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5270	BARC-065685-19659	ss107930749	Gm18	46029654	46029935	46029688	46029689	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5271	BARC-065381-19412	ss107930502	Gm18	53850320	53850628	53850552	53850553	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5272	BARC-041705-08069	ss107920015	Gm18	57781636	57781931	57781908	57781909	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5273	BARC-043995-08576	ss107920446	Gm18	61306290	61307053	61306545	61306546	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5274	BARC-014337-01324	ss107914873	Gm12	3704913	3705381	3705131	3705132	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5275	BARC-016807-02334	ss107915524	Gm12	4267952	4268493	4268262	4268263	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5276	BARC-062441-17792	ss107928964	Gm12	7342704	7343167	7343068	7343069	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5277	BARC-061687-17342	ss107928648	Gm12	10455584	10456064	10455609	10455610	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5278	BARC-064271-18603	ss107929793	Gm12	35473616	35473991	35473669	35473670	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5279	BARC-040047-07645	ss107919684	Gm12	35666238	35666961	35666674	35666675	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5280	BARC-045295-08926	ss107920731	Gm12	37536987	37537228	37537049	37537050	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5281	BARC-027816-06684	ss107918106	Gm12	38675904	38676206	38676001	38676002	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5282	BARC-057049-14550	ss107925746	Gm20	1706702	1706938	1706891	1706892	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5283	BARC-024933-10367	ss107917773	Gm20	6658567	6658997	6658664	6658665	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5284	BARC-061743-17365	ss107928675	Gm20	9323265	9323634	9323440	9323441	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5285	BARC-053751-12016	ss107923716	Gm20	22193314	22193729	22193567	22193568	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5286	BARC-049431-10315	ss107921802	Gm20	24205511	24206007	24205903	24205904	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5287	BARC-061665-17318	ss107928624	Gm20	26529970	26530231	26530070	26530071	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5288	BARC-065999-17517	ss107930938	Gm20	24619051	24619473	24619258	24619259	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5289	BARC-066003-17519	ss107930940	Gm20	24618262	24618613	24618350	24618351	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5290	BARC-059355-15761	ss107927030	Gm16	3363140	3363488	3363318	3363319	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5291	BARC-060769-16868	ss107928137	Gm16	9593288	9593638	9593460	9593461	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5292	BARC-059707-16019	ss107927282	Gm16	19250571	19250936	19250900	19250901	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5293	BARC-058115-15097	ss107926295	Gm16	13368135	13368391	13368340	13368341	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5294	BARC-061873-17563	ss107928737	Gm16	19290572	19290988	19290734	19290735	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5295	BARC-059701-16014	ss107927277	Gm16	19326007	19326274	19326072	19326073	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5296	BARC-058125-15101	ss107926299	Gm16	10817830	10818351	10817974	10817975	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5297	BARC-058075-15082	ss107926280	Gm16	18333629	18333992	18333655	18333656	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5298	BARC-057903-14994	ss107926192	Gm16	17749350	17749610	17749395	17749396	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5299	BARC-061473-17226	ss107928529	Gm16	23193572	23193900	23193608	23193609	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5300	BARC-062825-18078	ss107929250	Gm16	23955568	23955852	23955613	23955614	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5301	BARC-060225-16485	ss107927754	Gm16	23093436	23093688	23093520	23093521	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5302	BARC-061749-17368	ss107928678	Gm16	25994987	25995277	25995250	25995251	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5303	BARC-059493-15859	ss107927128	Gm16	26164888	26165315	26165123	26165124	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5304	BARC-042131-08181	ss107920109	Gm16	33473758	33475169	33474853	33474854	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5305	BARC-042413-08255	ss107920168	Gm16	35174863	35175400	35175117	35175118	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5306	BARC-064055-18540	ss107929731	Gm09	1659918	1660372	1660025	1660026	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5307	BARC-010459-00643	ss107914083	Gm09	1769486	1770064	1769855	1769856	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5308	BARC-059781-16089	ss107927358	Gm09	2033092	2033368	2033147	2033148	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5309	BARC-028040-06720	ss107918132	Gm09	3748300	3749020	3748657	3748658	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5310	BARC-062013-17617	ss107928791	Gm09	7814980	7815404	7815205	7815206	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5311	BARC-058947-15516	ss107926780	Gm09	12009578	12009939	12009818	12009819	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5312	BARC-057685-14896	ss107926096	Gm09	20136775	20137108	20137023	20137024	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5313	BARC-065027-19049	ss107930141	Gm09	32244286	32244586	32244526	32244527	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5314	BARC-061679-17326	ss107928632		32244286	32244586	32244526	32244527	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5315	BARC-044609-08737	ss107920577	Gm09	39067019	39067948	39067679	39067680	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5316	BARC-058077-15085	ss107926283	Gm09	41577523	41577904	41577738	41577739	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5317	BARC-029735-06330	ss107918575	Gm09	43178071	43178651	43178426	43178427	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5318	BARC-065445-19463	ss107930553	Gm19	2976858	2977154	2976939	2976940	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5319	BARC-058347-15244	ss107926433	Gm19	19376378	19376704	19376678	19376679	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5320	BARC-058601-15327	ss107926515	Gm19	24937063	24937346	24937284	24937285	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5321	BARC-061139-17079	ss107928374	Gm19	24755539	24756112	24755692	24755693	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5322	BARC-060631-16759	ss107928028	Gm19	14289931	14290255	14290010	14290011	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5323	BARC-065719-19673	ss107930763	Gm19	21107869	21108307	21108110	21108111	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5324	BARC-061553-17266	ss107928573	Gm19	25005031	25005368	25005257	25005258	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5325	BARC-057953-15022	ss107926220	Gm19	28942144	28942377	28942217	28942218	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5326	BARC-061163-17087	ss107928382	Gm19	27061742	27062180	27061825	27061826	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5327	BARC-030101-06809	ss107918727	Gm19	46515970	46516844	46516194	46516195	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5328	BARC-013173-01465	ss107914610	Gm19	48130160	48130836	48130323	48130324	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5329	BARC-060161-16424	ss107927692	Gm19	48589746	48590167	48589832	48589833	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5330	BARC-055563-13436	ss107924649	Gm07	6302497	6303014	6302637	6302638	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5331	BARC-064409-18662	ss107929855	Gm07	15496350	15496556	15496492	15496493	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5332	BARC-013407-01480	ss107914662	Gm07	31361084	31361725	31361212	31361213	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5333	BARC-057751-14916	ss107926115	Gm07	20087828	20088062	20088017	20088018	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5334	BARC-061433-17197	ss107928497	Gm07	20072721	20073042	20072912	20072913	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5335	BARC-061963-17598	ss107928772	Gm07	23776544	23776843	23776762	23776763	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5336	BARC-014811-01671	ss107914996	Gm07	42534124	42535329	42534274	42534275	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5337	BARC-018715-02993	ss107916094	Gm07	42623087	42623721	42623527	42623528	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5338	BARC-064253-18596	ss107929786	Gm03	33000058	33000494	33000312	33000313	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5339	BARC-021465-04122	ss107916895	Gm03	37827421	37828690	37828308	37828309	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5340	BARC-065753-19714	ss107930804		37827421	37828690	37828308	37828309	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5341	BARC-060819-16913	ss107928182	Gm10	11997503	11997802	11997689	11997690	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5342	BARC-059557-15913	ss107927182	Gm10	12772237	12772551	12772478	12772479	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5343	BARC-060547-16720	ss107927989	Gm10	14946440	14946745	14946512	14946513	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5344	BARC-065823-19772	ss107930862	Gm10	17068694	17068901	17068725	17068726	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5345	BARC-063417-18369	ss107929539	Gm10	31326129	31326432	31326224	31326225	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5346	BARC-057195-14623	ss107925820	Gm10	32213313	32213747	32213499	32213500	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5347	BARC-060053-16322	ss107927591	Gm10	32103463	32103769	32103558	32103559	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5348	BARC-057795-14927	ss107926126	Gm10	31406536	31406898	31406785	31406786	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5349	BARC-060521-16710	ss107927979	Gm10	36273060	36273451	36273409	36273410	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5350	BARC-044745-08785	ss107920616	Gm10	36772884	36773641	36773221	36773222	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5255	BARC-023255-03843	ss107917127	Gm13	10725498	10725703	10725636	10725637	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5167	BARC-010097-00518	ss107912848	Gm08	8943670	8944514	8944123	8944124	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
1	ss181348896	ss181348896	Gm05	4456940	4457061	4457001	4457002	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
